target,target_label,lead_hour,sample_count,forecast_bias_c,forecast_mae_c,forecast_rmse_c,raw_bias_c,raw_mae_c,raw_rmse_c,persistence_mae_c,coverage_rate,mae_improvement_vs_raw_c,mae_improvement_vs_persistence_c
min,Min,18,296,0.06478673662275802,0.8242526871190659,1.162779126688781,-2.518080781388566,2.518080781388566,2.7363806905755053,2.7554391891891887,0.8851351351351351,1.6938280942695003,1.9311865020701229
min,Min,21,296,-0.06588911954020461,0.8043742874142683,1.1029790305351532,-2.235936113663957,2.235936113663957,2.422987697666906,2.988547297297297,0.8378378378378378,1.4315618262496888,2.184173009883029
min,Min,24,285,-0.058780088781314174,0.8400576893085374,1.001313027199735,-2.5176200865063048,2.5176200865063048,2.669532343497455,3.2003508771929825,0.8105263157894737,1.6775623971977673,2.3602931878844453
min,Min,27,285,-0.13899389306243362,0.7485579514072892,0.8632460669681001,-2.7724469047765905,2.7724469047765905,2.8746985023777176,3.5189122807017545,0.9964912280701754,2.023888953369301,2.7703543292944652
min,Min,30,285,-0.34613863055446337,1.6281740266619196,2.0629138098118203,-4.732980944013158,4.732980944013158,4.980313665566741,2.892421052631579,0.8421052631578947,3.1048069173512385,1.2642470259696592
min,Min,33,285,-0.4596429305184389,2.686108459575457,3.463230051769228,-8.252946379481909,8.252946379481909,8.51978300448841,3.467684210526316,0.8736842105263158,5.566837919906451,0.781575750950859
min,Min,36,285,0.162349974585144,1.913232330787662,2.186786366114116,-3.891400837273849,3.891400837273849,4.297949734790102,4.575894736842105,0.8631578947368421,1.978168506486187,2.6626624060544426
min,Min,39,285,0.09481666585970432,1.1753011657746815,1.4618855132700752,-2.570548274225603,2.570548274225603,2.88690334847574,3.3102807017543863,0.8456140350877193,1.3952471084509217,2.1349795359797046
min,Min,42,285,-0.258801942553865,0.6736867746780177,0.9656725009025994,-2.5527366413582784,2.5527366413582784,2.7231748594517344,2.822947368421053,0.8947368421052632,1.8790498666802606,2.149260593743035
min,Min,45,285,-0.2691473021165975,0.6814893477894547,0.8516668861686124,-2.2438850529879386,2.2438850529879386,2.376658028222592,3.089543859649123,0.8526315789473684,1.562395705198484,2.4080545118596683
min,Min,48,273,-0.41821707249206125,0.7581111064936327,1.0355720882902935,-2.454876871065133,2.454876871065133,2.618420739579671,3.3102930402930406,0.7765567765567766,1.6967657645715004,2.552181933799408
prom,Prom,3,296,-0.2947011794169652,0.5739859997360642,0.7453183072020659,-2.419449132911476,2.419449132911476,2.5132265663191404,3.7382094594594593,0.847972972972973,1.8454631331754117,3.164223459723395
prom,Prom,6,296,0.23117811672469643,1.2214054560753982,1.666588329216025,-3.571729353832348,3.571729353832348,3.8574353084273936,2.938006756756757,0.8277027027027027,2.3503238977569496,1.7166013006813587
prom,Prom,9,296,0.18128830215542893,1.4114021692502499,1.7513647143392401,-2.4756424267908046,2.4954721387048675,3.0004790599809534,3.5215540540540538,0.8513513513513513,1.0840699694546176,2.1101518848038037
prom,Prom,12,296,0.4273641905017621,1.2161308992603161,1.622787034167516,-2.3525575841295407,2.4610053446341853,2.8326061998621284,4.438074324324324,0.7533783783783784,1.2448744453738692,3.221943425064008
prom,Prom,15,296,0.1528518093234708,1.1267174739126458,1.2559243975229333,-2.664292244239601,2.6642922442396006,2.897611243098323,3.0816554054054053,0.8445945945945946,1.5375747703269549,1.9549379314927595
prom,Prom,18,296,-0.008991806808802141,0.862443538722601,1.2249175407901403,-2.5897045267169023,2.589704526716902,2.806794671070292,2.720608108108108,0.8817567567567568,1.7272609879943008,1.8581645693855071
prom,Prom,21,296,-0.15155824488450073,0.8397777247264017,1.1556226440061657,-2.2362061173458603,2.2362061173458603,2.417767181133743,2.9833445945945942,0.8344594594594594,1.3964283926194585,2.1435668698681924
prom,Prom,24,285,-0.1004019129106654,0.7715672984306,0.9429029241488904,-2.477105106236294,2.477105106236294,2.624570279344171,3.226421052631579,0.8070175438596491,1.705537807805694,2.454853754200979
prom,Prom,27,285,-0.37076712386040594,0.8929341890219217,1.0616765676535942,-2.7088610408031797,2.7088610408031797,2.8266300972266474,3.5366666666666666,0.8842105263157894,1.8159268517812581,2.643732477644745
prom,Prom,30,285,-0.16189905505611374,1.4955564015473433,1.8143654548724806,-3.6210440382195723,3.6210440382195723,3.871306926701836,2.889578947368421,0.9052631578947369,2.1254876366722293,1.3940225458210775
prom,Prom,33,285,0.035336724433985875,1.6127280888381632,1.8455418242436905,-2.3327513167489045,2.3327513167489045,2.750062202093221,3.4842105263157896,0.8596491228070176,0.7200232279107412,1.8714824374776264
prom,Prom,36,285,-0.039461299035310295,1.7534850651902032,2.18927759059878,-2.153880527240955,2.51256902093613,2.9648079869061466,4.599087719298246,0.8035087719298246,0.759083955745927,2.845602654108043
prom,Prom,39,285,0.0881490081178272,1.281589415602737,1.5513476904038934,-2.626294689994518,2.6262946899945185,2.980764530706245,3.2970526315789477,0.8210526315789474,1.3447052743917816,2.0154632159762107
prom,Prom,42,285,-0.33486384056001556,0.6856283009235787,0.9996276933584375,-2.605415451308936,2.605415451308936,2.7704906809216316,2.834280701754386,0.8947368421052632,1.919787150385357,2.148652400830807
prom,Prom,45,285,-0.33267509807159257,0.7116514165814104,0.8836993480304748,-2.218454691097861,2.218454691097861,2.365419999721923,3.0985263157894734,0.7964912280701755,1.5068032745164506,2.386874899208063
prom,Prom,48,273,-0.4951476509410042,0.7411731611319944,1.038730488973352,-2.490257410742903,2.4902574107429034,2.6536508461561175,3.321135531135531,0.7838827838827839,1.7490842496109091,2.579962370003537
